Index: 42053 | Uncertainty: 0.8393
Index: 20801 | Uncertainty: 0.8372
Index: 34711 | Uncertainty: 0.8355
Index: 40022 | Uncertainty: 0.8335
Index: 9021 | Uncertainty: 0.8284
Index: 8637 | Uncertainty: 0.8276
Index: 21312 | Uncertainty: 0.8267
Index: 11623 | Uncertainty: 0.8257
Index: 20750 | Uncertainty: 0.8252
Index: 20641 | Uncertainty: 0.8245
Index: 45113 | Uncertainty: 0.8243
Index: 28860 | Uncertainty: 0.8243
Index: 38609 | Uncertainty: 0.8232
Index: 32065 | Uncertainty: 0.8225
Index: 11723 | Uncertainty: 0.8223
Index: 43708 | Uncertainty: 0.8220
Index: 45079 | Uncertainty: 0.8219
Index: 16337 | Uncertainty: 0.8207
Index: 11076 | Uncertainty: 0.8176
Index: 29626 | Uncertainty: 0.8174
Index: 47009 | Uncertainty: 0.8171
Index: 43755 | Uncertainty: 0.8170
Index: 46883 | Uncertainty: 0.8161
Index: 49996 | Uncertainty: 0.8158
Index: 31797 | Uncertainty: 0.8156
Index: 37061 | Uncertainty: 0.8147
Index: 21044 | Uncertainty: 0.8143
Index: 39584 | Uncertainty: 0.8142
Index: 23485 | Uncertainty: 0.8141
Index: 39252 | Uncertainty: 0.8135
Index: 40615 | Uncertainty: 0.8132
Index: 47110 | Uncertainty: 0.8131
Index: 10554 | Uncertainty: 0.8125
Index: 16366 | Uncertainty: 0.8123
Index: 24069 | Uncertainty: 0.8121
Index: 40284 | Uncertainty: 0.8120
Index: 47646 | Uncertainty: 0.8114
Index: 10108 | Uncertainty: 0.8113
Index: 30657 | Uncertainty: 0.8110
Index: 43237 | Uncertainty: 0.8109
Index: 2738 | Uncertainty: 0.8105
Index: 40038 | Uncertainty: 0.8103
Index: 38349 | Uncertainty: 0.8102
Index: 21576 | Uncertainty: 0.8101
Index: 4142 | Uncertainty: 0.8100
Index: 4679 | Uncertainty: 0.8099
Index: 10294 | Uncertainty: 0.8097
Index: 25079 | Uncertainty: 0.8094
Index: 17763 | Uncertainty: 0.8093
Index: 40212 | Uncertainty: 0.8093
Index: 24614 | Uncertainty: 0.8083
Index: 9319 | Uncertainty: 0.8079
Index: 48079 | Uncertainty: 0.8077
Index: 28114 | Uncertainty: 0.8073
Index: 46535 | Uncertainty: 0.8073
Index: 15602 | Uncertainty: 0.8073
Index: 26634 | Uncertainty: 0.8072
Index: 48336 | Uncertainty: 0.8071
Index: 248 | Uncertainty: 0.8067
Index: 12326 | Uncertainty: 0.8066
Index: 31140 | Uncertainty: 0.8062
Index: 25698 | Uncertainty: 0.8060
Index: 36340 | Uncertainty: 0.8060
Index: 36385 | Uncertainty: 0.8058
Index: 42817 | Uncertainty: 0.8055
Index: 27895 | Uncertainty: 0.8052
Index: 22142 | Uncertainty: 0.8052
Index: 48872 | Uncertainty: 0.8047
Index: 35017 | Uncertainty: 0.8046
Index: 40196 | Uncertainty: 0.8044
Index: 18591 | Uncertainty: 0.8043
Index: 1649 | Uncertainty: 0.8041
Index: 48057 | Uncertainty: 0.8034
Index: 22317 | Uncertainty: 0.8032
Index: 22329 | Uncertainty: 0.8032
Index: 18771 | Uncertainty: 0.8029
Index: 26840 | Uncertainty: 0.8028
Index: 30837 | Uncertainty: 0.8022
Index: 44366 | Uncertainty: 0.8019
Index: 47879 | Uncertainty: 0.8015
Index: 39732 | Uncertainty: 0.8014
Index: 13521 | Uncertainty: 0.8014
Index: 14241 | Uncertainty: 0.8010
Index: 37675 | Uncertainty: 0.8009
Index: 6724 | Uncertainty: 0.8009
Index: 5233 | Uncertainty: 0.8003
Index: 9659 | Uncertainty: 0.8003
Index: 12155 | Uncertainty: 0.8003
Index: 29542 | Uncertainty: 0.8001
Index: 36850 | Uncertainty: 0.8001
Index: 41998 | Uncertainty: 0.7998
Index: 49741 | Uncertainty: 0.7997
Index: 35096 | Uncertainty: 0.7994
Index: 38219 | Uncertainty: 0.7994
Index: 31559 | Uncertainty: 0.7991
Index: 16778 | Uncertainty: 0.7991
Index: 6004 | Uncertainty: 0.7988
Index: 19838 | Uncertainty: 0.7987
Index: 37415 | Uncertainty: 0.7987
Index: 16173 | Uncertainty: 0.7987
