Index: 26525 | Uncertainty: 0.8091
Index: 25132 | Uncertainty: 0.7983
Index: 26586 | Uncertainty: 0.7912
Index: 32514 | Uncertainty: 0.7823
Index: 33921 | Uncertainty: 0.7805
Index: 38290 | Uncertainty: 0.7776
Index: 1401 | Uncertainty: 0.7768
Index: 30419 | Uncertainty: 0.7748
Index: 26560 | Uncertainty: 0.7743
Index: 5957 | Uncertainty: 0.7723
Index: 48255 | Uncertainty: 0.7702
Index: 1282 | Uncertainty: 0.7699
Index: 31137 | Uncertainty: 0.7688
Index: 32494 | Uncertainty: 0.7685
Index: 4400 | Uncertainty: 0.7685
Index: 23402 | Uncertainty: 0.7685
Index: 17469 | Uncertainty: 0.7677
Index: 39866 | Uncertainty: 0.7661
Index: 11810 | Uncertainty: 0.7652
Index: 45280 | Uncertainty: 0.7636
Index: 17518 | Uncertainty: 0.7633
Index: 43249 | Uncertainty: 0.7619
Index: 8313 | Uncertainty: 0.7618
Index: 44661 | Uncertainty: 0.7615
Index: 12021 | Uncertainty: 0.7615
Index: 5778 | Uncertainty: 0.7613
Index: 9840 | Uncertainty: 0.7610
Index: 45254 | Uncertainty: 0.7588
Index: 8076 | Uncertainty: 0.7585
Index: 16808 | Uncertainty: 0.7581
Index: 25943 | Uncertainty: 0.7573
Index: 39036 | Uncertainty: 0.7569
Index: 13527 | Uncertainty: 0.7569
Index: 42147 | Uncertainty: 0.7564
Index: 47216 | Uncertainty: 0.7563
Index: 26775 | Uncertainty: 0.7550
Index: 49028 | Uncertainty: 0.7547
Index: 37635 | Uncertainty: 0.7545
Index: 32368 | Uncertainty: 0.7544
Index: 25605 | Uncertainty: 0.7542
Index: 14090 | Uncertainty: 0.7539
Index: 2701 | Uncertainty: 0.7534
Index: 41970 | Uncertainty: 0.7533
Index: 21204 | Uncertainty: 0.7528
Index: 36968 | Uncertainty: 0.7522
Index: 31371 | Uncertainty: 0.7521
Index: 17819 | Uncertainty: 0.7518
Index: 15877 | Uncertainty: 0.7515
Index: 1933 | Uncertainty: 0.7508
Index: 12831 | Uncertainty: 0.7503
Index: 22029 | Uncertainty: 0.7502
Index: 14180 | Uncertainty: 0.7498
Index: 40975 | Uncertainty: 0.7488
Index: 44343 | Uncertainty: 0.7482
Index: 43654 | Uncertainty: 0.7476
Index: 21742 | Uncertainty: 0.7475
Index: 10429 | Uncertainty: 0.7472
Index: 18110 | Uncertainty: 0.7446
Index: 26566 | Uncertainty: 0.7442
Index: 862 | Uncertainty: 0.7438
Index: 25980 | Uncertainty: 0.7432
Index: 1121 | Uncertainty: 0.7431
Index: 21805 | Uncertainty: 0.7431
Index: 156 | Uncertainty: 0.7425
Index: 32829 | Uncertainty: 0.7425
Index: 27210 | Uncertainty: 0.7420
Index: 12147 | Uncertainty: 0.7419
Index: 47840 | Uncertainty: 0.7415
Index: 8752 | Uncertainty: 0.7415
Index: 30933 | Uncertainty: 0.7412
Index: 29542 | Uncertainty: 0.7407
Index: 39919 | Uncertainty: 0.7407
Index: 32625 | Uncertainty: 0.7402
Index: 22611 | Uncertainty: 0.7390
Index: 39166 | Uncertainty: 0.7384
Index: 15913 | Uncertainty: 0.7384
Index: 43726 | Uncertainty: 0.7384
Index: 18105 | Uncertainty: 0.7381
Index: 43755 | Uncertainty: 0.7380
Index: 40583 | Uncertainty: 0.7379
Index: 3660 | Uncertainty: 0.7376
Index: 22331 | Uncertainty: 0.7372
Index: 35432 | Uncertainty: 0.7368
Index: 5134 | Uncertainty: 0.7367
Index: 10338 | Uncertainty: 0.7365
Index: 21042 | Uncertainty: 0.7364
Index: 38931 | Uncertainty: 0.7360
Index: 29129 | Uncertainty: 0.7356
Index: 31696 | Uncertainty: 0.7354
Index: 14535 | Uncertainty: 0.7349
Index: 13756 | Uncertainty: 0.7348
Index: 10230 | Uncertainty: 0.7347
Index: 3397 | Uncertainty: 0.7345
Index: 14709 | Uncertainty: 0.7344
Index: 46931 | Uncertainty: 0.7344
Index: 35552 | Uncertainty: 0.7341
Index: 3255 | Uncertainty: 0.7339
Index: 44874 | Uncertainty: 0.7336
Index: 25986 | Uncertainty: 0.7335
Index: 29208 | Uncertainty: 0.7334
Index: 36934 | Uncertainty: 0.7330
Index: 30250 | Uncertainty: 0.7327
Index: 49898 | Uncertainty: 0.7327
Index: 9771 | Uncertainty: 0.7327
Index: 23985 | Uncertainty: 0.7326
Index: 41300 | Uncertainty: 0.7317
Index: 44260 | Uncertainty: 0.7313
Index: 24810 | Uncertainty: 0.7312
Index: 24663 | Uncertainty: 0.7311
Index: 6024 | Uncertainty: 0.7301
Index: 14454 | Uncertainty: 0.7294
Index: 34033 | Uncertainty: 0.7293
Index: 7682 | Uncertainty: 0.7286
Index: 13411 | Uncertainty: 0.7284
Index: 5123 | Uncertainty: 0.7281
Index: 18052 | Uncertainty: 0.7280
Index: 31698 | Uncertainty: 0.7277
Index: 24585 | Uncertainty: 0.7277
Index: 7189 | Uncertainty: 0.7276
Index: 44431 | Uncertainty: 0.7267
Index: 3687 | Uncertainty: 0.7266
Index: 8103 | Uncertainty: 0.7265
Index: 41080 | Uncertainty: 0.7262
Index: 8203 | Uncertainty: 0.7262
Index: 9656 | Uncertainty: 0.7261
Index: 26500 | Uncertainty: 0.7260
Index: 43496 | Uncertainty: 0.7258
Index: 35287 | Uncertainty: 0.7258
Index: 29645 | Uncertainty: 0.7256
Index: 3759 | Uncertainty: 0.7255
Index: 9899 | Uncertainty: 0.7252
Index: 25493 | Uncertainty: 0.7251
Index: 4135 | Uncertainty: 0.7251
Index: 722 | Uncertainty: 0.7247
Index: 24545 | Uncertainty: 0.7241
Index: 41950 | Uncertainty: 0.7239
Index: 33015 | Uncertainty: 0.7239
Index: 41242 | Uncertainty: 0.7232
Index: 41294 | Uncertainty: 0.7228
Index: 26788 | Uncertainty: 0.7228
Index: 11312 | Uncertainty: 0.7227
Index: 49051 | Uncertainty: 0.7227
Index: 17347 | Uncertainty: 0.7225
Index: 15371 | Uncertainty: 0.7225
Index: 48336 | Uncertainty: 0.7223
Index: 13347 | Uncertainty: 0.7220
Index: 32284 | Uncertainty: 0.7219
Index: 37694 | Uncertainty: 0.7219
Index: 13830 | Uncertainty: 0.7216
Index: 9629 | Uncertainty: 0.7210
Index: 36759 | Uncertainty: 0.7208
Index: 23495 | Uncertainty: 0.7203
Index: 24790 | Uncertainty: 0.7195
Index: 17425 | Uncertainty: 0.7195
Index: 38171 | Uncertainty: 0.7194
Index: 43970 | Uncertainty: 0.7192
Index: 32939 | Uncertainty: 0.7182
Index: 11344 | Uncertainty: 0.7181
Index: 36570 | Uncertainty: 0.7178
Index: 29845 | Uncertainty: 0.7171
Index: 8732 | Uncertainty: 0.7160
Index: 46371 | Uncertainty: 0.7155
Index: 48969 | Uncertainty: 0.7154
Index: 22913 | Uncertainty: 0.7146
Index: 8882 | Uncertainty: 0.7145
Index: 16344 | Uncertainty: 0.7144
Index: 15070 | Uncertainty: 0.7143
Index: 46811 | Uncertainty: 0.7143
Index: 25087 | Uncertainty: 0.7141
Index: 28478 | Uncertainty: 0.7141
Index: 25015 | Uncertainty: 0.7140
Index: 31884 | Uncertainty: 0.7139
Index: 47570 | Uncertainty: 0.7136
Index: 29556 | Uncertainty: 0.7136
Index: 14774 | Uncertainty: 0.7134
Index: 39753 | Uncertainty: 0.7134
Index: 49627 | Uncertainty: 0.7134
Index: 43470 | Uncertainty: 0.7130
Index: 4871 | Uncertainty: 0.7129
Index: 39773 | Uncertainty: 0.7122
Index: 26617 | Uncertainty: 0.7118
Index: 42001 | Uncertainty: 0.7117
Index: 4997 | Uncertainty: 0.7117
Index: 40064 | Uncertainty: 0.7117
Index: 49969 | Uncertainty: 0.7114
Index: 27518 | Uncertainty: 0.7113
Index: 15550 | Uncertainty: 0.7110
Index: 17699 | Uncertainty: 0.7110
Index: 5899 | Uncertainty: 0.7109
Index: 13022 | Uncertainty: 0.7108
Index: 45102 | Uncertainty: 0.7103
Index: 6737 | Uncertainty: 0.7101
Index: 27074 | Uncertainty: 0.7101
Index: 9296 | Uncertainty: 0.7100
Index: 1803 | Uncertainty: 0.7098
Index: 11303 | Uncertainty: 0.7096
Index: 2122 | Uncertainty: 0.7095
Index: 18977 | Uncertainty: 0.7095
Index: 12290 | Uncertainty: 0.7093
Index: 41596 | Uncertainty: 0.7086
Index: 12217 | Uncertainty: 0.7086
Index: 12843 | Uncertainty: 0.7086
Index: 12393 | Uncertainty: 0.7082
Index: 24393 | Uncertainty: 0.7081
Index: 11370 | Uncertainty: 0.7081
Index: 4031 | Uncertainty: 0.7080
Index: 49839 | Uncertainty: 0.7079
Index: 22594 | Uncertainty: 0.7077
Index: 9873 | Uncertainty: 0.7073
Index: 38573 | Uncertainty: 0.7073
Index: 43188 | Uncertainty: 0.7073
Index: 45914 | Uncertainty: 0.7073
Index: 37699 | Uncertainty: 0.7071
Index: 7853 | Uncertainty: 0.7071
Index: 17147 | Uncertainty: 0.7070
Index: 49741 | Uncertainty: 0.7069
Index: 16698 | Uncertainty: 0.7069
Index: 724 | Uncertainty: 0.7068
Index: 41639 | Uncertainty: 0.7067
Index: 5399 | Uncertainty: 0.7065
Index: 29757 | Uncertainty: 0.7063
Index: 43331 | Uncertainty: 0.7062
Index: 18613 | Uncertainty: 0.7061
Index: 17737 | Uncertainty: 0.7059
Index: 30319 | Uncertainty: 0.7059
Index: 26838 | Uncertainty: 0.7059
Index: 10067 | Uncertainty: 0.7055
Index: 22052 | Uncertainty: 0.7051
Index: 44029 | Uncertainty: 0.7051
Index: 3556 | Uncertainty: 0.7050
Index: 12857 | Uncertainty: 0.7050
Index: 43222 | Uncertainty: 0.7047
Index: 43018 | Uncertainty: 0.7047
Index: 38176 | Uncertainty: 0.7045
Index: 27027 | Uncertainty: 0.7045
Index: 30290 | Uncertainty: 0.7043
Index: 38150 | Uncertainty: 0.7043
Index: 44905 | Uncertainty: 0.7041
Index: 19088 | Uncertainty: 0.7041
Index: 18278 | Uncertainty: 0.7037
Index: 12160 | Uncertainty: 0.7035
Index: 39528 | Uncertainty: 0.7035
Index: 20589 | Uncertainty: 0.7035
Index: 13387 | Uncertainty: 0.7033
Index: 26912 | Uncertainty: 0.7029
Index: 40517 | Uncertainty: 0.7027
Index: 28160 | Uncertainty: 0.7026
Index: 24935 | Uncertainty: 0.7025
Index: 9114 | Uncertainty: 0.7025
Index: 20710 | Uncertainty: 0.7024
Index: 521 | Uncertainty: 0.7024
Index: 43364 | Uncertainty: 0.7021
Index: 29502 | Uncertainty: 0.7020
Index: 2500 | Uncertainty: 0.7020
Index: 31326 | Uncertainty: 0.7020
Index: 13276 | Uncertainty: 0.7018
Index: 39854 | Uncertainty: 0.7013
Index: 33578 | Uncertainty: 0.7012
Index: 48829 | Uncertainty: 0.7009
Index: 29140 | Uncertainty: 0.7008
Index: 41329 | Uncertainty: 0.7006
Index: 26336 | Uncertainty: 0.7005
Index: 27282 | Uncertainty: 0.7004
Index: 11922 | Uncertainty: 0.7003
Index: 27796 | Uncertainty: 0.7000
Index: 46940 | Uncertainty: 0.7000
Index: 2905 | Uncertainty: 0.6996
Index: 474 | Uncertainty: 0.6996
Index: 6956 | Uncertainty: 0.6995
Index: 35992 | Uncertainty: 0.6995
Index: 49638 | Uncertainty: 0.6994
Index: 42336 | Uncertainty: 0.6993
Index: 85 | Uncertainty: 0.6993
Index: 41619 | Uncertainty: 0.6992
Index: 47547 | Uncertainty: 0.6990
Index: 33 | Uncertainty: 0.6989
Index: 46618 | Uncertainty: 0.6988
Index: 15083 | Uncertainty: 0.6986
Index: 5494 | Uncertainty: 0.6983
Index: 27794 | Uncertainty: 0.6982
Index: 16833 | Uncertainty: 0.6980
Index: 20407 | Uncertainty: 0.6978
Index: 35583 | Uncertainty: 0.6977
Index: 15488 | Uncertainty: 0.6976
Index: 23404 | Uncertainty: 0.6976
Index: 3008 | Uncertainty: 0.6976
Index: 24947 | Uncertainty: 0.6975
Index: 43706 | Uncertainty: 0.6974
Index: 48188 | Uncertainty: 0.6971
Index: 8472 | Uncertainty: 0.6970
Index: 11365 | Uncertainty: 0.6970
Index: 48490 | Uncertainty: 0.6969
Index: 12394 | Uncertainty: 0.6967
Index: 40600 | Uncertainty: 0.6965
Index: 49088 | Uncertainty: 0.6965
Index: 40732 | Uncertainty: 0.6965
Index: 45660 | Uncertainty: 0.6964
Index: 42333 | Uncertainty: 0.6962
Index: 23619 | Uncertainty: 0.6960
Index: 42181 | Uncertainty: 0.6959
